filename,xmin,ymin,xmax,ymax,class
images/image111.jpg,643,299,750,465,stressed
images/image111.jpg,666,102,750,238,stressed
images/image111.jpg,469,224,641,447,stressed
images/image111.jpg,361,261,462,380,stressed
images/image111.jpg,232,340,365,499,stressed
images/image111.jpg,233,199,357,324,stressed
images/image111.jpg,353,116,444,253,stressed
images/image111.jpg,456,112,536,222,stressed
images/image111.jpg,158,1,312,189,stressed
images/image111.jpg,533,605,737,750,stressed
images/image111.jpg,343,590,524,750,stressed
images/image111.jpg,1,201,212,353,stressed
images/image111.jpg,1,15,143,183,stressed
images/image111.jpg,12,636,92,750,healthy
images/image111.jpg,102,621,330,750,healthy
images/image111.jpg,35,528,289,605,healthy
images/image111.jpg,330,22,523,100,healthy
images/image109.jpg,5,1,101,147,healthy
images/image109.jpg,1,150,88,365,healthy
images/image109.jpg,97,215,189,322,healthy
images/image109.jpg,106,36,257,202,healthy
images/image109.jpg,389,2,528,52,healthy
images/image109.jpg,532,665,668,750,stressed
images/image109.jpg,316,638,487,744,stressed
images/image109.jpg,13,600,194,750,stressed
images/image109.jpg,1,498,124,596,stressed
images/image109.jpg,1,367,205,496,stressed
images/image109.jpg,108,322,188,358,stressed
images/image109.jpg,313,469,568,600,stressed
images/image109.jpg,383,377,502,469,stressed
images/image109.jpg,280,230,505,373,stressed
images/image109.jpg,573,398,743,498,stressed
images/image109.jpg,651,300,750,382,stressed
images/image109.jpg,508,339,638,403,stressed
images/image109.jpg,516,173,748,304,stressed
images/image109.jpg,539,5,730,158,stressed
images/image109.jpg,380,62,505,219,stressed
images/image706.jpg,4,667,185,750,stressed
images/image706.jpg,191,672,383,750,stressed
images/image706.jpg,62,517,315,644,stressed
images/image706.jpg,366,1,497,227,stressed
images/image706.jpg,174,1,353,77,stressed
images/image706.jpg,177,77,340,208,stressed
images/image706.jpg,261,223,333,279,stressed
images/image706.jpg,63,128,171,270,stressed
images/image706.jpg,182,215,260,275,stressed
images/image706.jpg,62,281,211,505,stressed
images/image706.jpg,596,328,743,591,stressed
images/image706.jpg,570,196,714,310,stressed
images/image706.jpg,13,1,96,66,healthy
images/image706.jpg,1,77,39,153,healthy
images/image706.jpg,1,274,55,560,healthy
images/image706.jpg,322,531,427,639,healthy
images/image706.jpg,335,358,463,521,healthy
images/image706.jpg,216,317,320,485,healthy
images/image706.jpg,577,1,723,67,healthy
images/image706.jpg,586,67,729,189,healthy
images/image706.jpg,603,606,750,744,healthy
images/image706.jpg,515,539,597,750,healthy
images/image706.jpg,414,639,504,748,healthy
images/image1304.jpg,312,1,435,157,healthy
images/image1304.jpg,90,1,290,119,healthy
images/image1304.jpg,237,544,395,747,healthy
images/image1304.jpg,6,533,219,740,healthy
images/image1304.jpg,4,413,273,528,healthy
images/image1304.jpg,1,297,83,413,healthy
images/image1304.jpg,5,1,77,287,healthy
images/image1304.jpg,288,398,441,540,healthy
images/image1304.jpg,249,165,380,385,healthy
images/image1304.jpg,572,1,749,53,stressed
images/image1304.jpg,596,54,750,197,stressed
images/image1304.jpg,478,111,595,283,stressed
images/image1304.jpg,629,235,731,273,stressed
images/image1304.jpg,601,294,740,487,stressed
images/image1304.jpg,460,290,598,541,stressed
images/image1304.jpg,412,675,587,745,stressed
images/image1304.jpg,610,679,701,749,stressed
images/image1304.jpg,671,498,747,637,stressed
images/image1304.jpg,453,550,601,667,stressed
images/image1304.jpg,614,499,652,635,stressed
images/image1304.jpg,111,123,212,366,stressed
images/image110.jpg,1,1,157,216,stressed
images/image110.jpg,1,245,53,308,stressed
images/image110.jpg,414,671,582,750,stressed
images/image110.jpg,216,648,306,747,stressed
images/image110.jpg,216,427,441,546,stressed
images/image110.jpg,307,295,444,420,stressed
images/image110.jpg,220,192,354,290,stressed
images/image110.jpg,388,2,570,140,stressed
images/image110.jpg,281,550,372,641,stressed
images/image110.jpg,1,360,120,550,healthy
images/image110.jpg,1,555,110,630,healthy
images/image110.jpg,62,638,201,748,healthy
images/image110.jpg,233,6,368,175,healthy
images/image110.jpg,590,1,699,75,healthy
images/image110.jpg,468,145,679,302,healthy
images/image110.jpg,460,306,637,414,healthy
images/image110.jpg,445,421,606,587,healthy
images/image110.jpg,589,691,749,750,healthy
images/image110.jpg,320,642,407,745,healthy
images/image110.jpg,146,541,262,631,healthy
images/image110.jpg,585,87,657,137,healthy
images/image110.jpg,464,590,563,665,healthy
images/image1003.jpg,574,575,750,742,stressed
images/image1003.jpg,599,421,744,570,stressed
images/image1003.jpg,640,221,748,407,stressed
images/image1003.jpg,673,1,750,204,stressed
images/image1003.jpg,1,1,81,269,healthy
images/image1003.jpg,88,2,364,270,healthy
images/image1003.jpg,3,271,339,445,healthy
images/image1003.jpg,1,447,235,738,healthy
images/image1003.jpg,237,449,404,745,healthy
images/image1003.jpg,406,442,532,564,healthy
images/image1003.jpg,352,275,568,425,healthy
images/image1003.jpg,373,1,607,260,healthy
images/image1006.jpg,4,667,185,750,stressed
images/image1006.jpg,191,672,383,750,stressed
images/image1006.jpg,62,517,315,644,stressed
images/image1006.jpg,366,1,497,227,stressed
images/image1006.jpg,174,1,353,77,stressed
images/image1006.jpg,177,77,340,208,stressed
images/image1006.jpg,261,223,333,279,stressed
images/image1006.jpg,63,128,171,270,stressed
images/image1006.jpg,182,215,260,275,stressed
images/image1006.jpg,62,281,211,505,stressed
images/image1006.jpg,596,328,743,591,stressed
images/image1006.jpg,570,196,714,310,stressed
images/image1006.jpg,13,1,96,66,healthy
images/image1006.jpg,1,77,39,153,healthy
images/image1006.jpg,1,274,55,560,healthy
images/image1006.jpg,322,531,427,639,healthy
images/image1006.jpg,335,358,463,521,healthy
images/image1006.jpg,216,317,320,485,healthy
images/image1006.jpg,577,1,723,67,healthy
images/image1006.jpg,586,67,729,189,healthy
images/image1006.jpg,603,606,750,744,healthy
images/image1006.jpg,515,539,597,750,healthy
images/image1006.jpg,414,639,504,748,healthy
images/image101.jpg,8,1,238,235,healthy
images/image101.jpg,1,242,213,474,healthy
images/image101.jpg,1,480,238,745,healthy
images/image101.jpg,246,483,501,740,healthy
images/image101.jpg,221,242,486,471,healthy
images/image101.jpg,283,7,529,232,healthy
images/image101.jpg,528,5,748,231,healthy
images/image101.jpg,513,677,646,749,healthy
images/image101.jpg,515,537,596,653,healthy
images/image101.jpg,602,432,720,595,healthy
images/image101.jpg,511,238,581,524,healthy
images/image101.jpg,594,230,744,425,healthy
images/image399.jpg,606,590,749,750,stressed
images/image399.jpg,518,654,595,750,stressed
images/image399.jpg,613,475,750,580,stressed
images/image399.jpg,702,331,748,471,stressed
images/image399.jpg,551,3,728,67,stressed
images/image399.jpg,396,36,538,154,stressed
images/image399.jpg,349,155,519,307,stressed
images/image399.jpg,528,255,637,402,stressed
images/image399.jpg,538,82,690,250,stressed
images/image399.jpg,699,73,748,183,stressed
images/image399.jpg,211,166,336,330,stressed
images/image399.jpg,389,337,469,423,stressed
images/image399.jpg,99,350,252,447,stressed
images/image399.jpg,110,453,221,631,stressed
images/image399.jpg,5,505,113,745,stressed
images/image399.jpg,130,1,308,113,healthy
images/image399.jpg,7,1,113,107,healthy
images/image399.jpg,1,120,155,332,healthy
images/image399.jpg,1,338,70,480,healthy
images/image399.jpg,239,570,435,745,healthy
images/image399.jpg,261,387,396,566,healthy
images/image997.jpg,631,263,750,412,stressed
images/image997.jpg,593,421,749,569,stressed
images/image997.jpg,458,433,572,558,stressed
images/image997.jpg,636,589,719,683,stressed
